cgpa,experience,label
6.25,3,0
9.7,2,1
8.39,6,1
7.59,7,1
4.94,3,0
4.94,4,0
4.35,1,0
9.2,11,1
7.61,9,1
8.25,2,1
4.12,0,0
9.82,7,1
8.99,2,1
5.27,3,0
5.09,1,0
5.1,1,0
5.83,4,0
7.15,9,1
6.59,4,1
5.75,5,1
7.67,6,1
4.84,0,0
5.75,3,0
6.2,4,0
6.74,0,0
8.71,9,1
5.2,1,0
7.09,0,0
7.55,1,0
4.28,3,0
7.65,5,1
5.02,0,0
4.39,4,0
9.69,4,1
9.79,0,1
8.85,12,1
5.83,6,1
4.59,4,0
8.11,5,1
6.64,6,1
4.73,2,0
6.97,9,1
4.21,3,0
9.46,2,1
5.55,4,0
7.98,5,1
5.87,0,0
7.12,4,1
7.28,0,0
5.11,5,0
9.82,3,1
8.65,4,1
9.64,11,1
9.37,9,1
7.59,9,1
9.53,4,1
4.53,3,0
5.18,0,0
4.27,1,0
5.95,5,1
6.33,4,0
5.63,6,1
8.97,9,1
6.14,1,0
5.69,5,0
7.26,4,1
4.85,3,0
8.81,1,0
4.45,3,0
9.92,9,1
8.63,9,1
5.19,2,0
4.03,1,0
8.89,0,0
8.24,7,1
8.37,4,1
8.63,12,1
4.44,3,0
6.15,7,1
4.7,1,0
9.18,0,0
7.74,11,1
5.99,7,1
4.38,2,0
5.87,3,0
5.95,7,1
8.38,11,1
7.83,1,1
9.32,2,1
6.83,0,0
4.72,0,0
8.28,12,1
8.56,2,1
7.37,10,1
8.63,4,1
6.96,2,0
7.14,0,0
6.57,0,0
4.15,3,0
4.65,1,0
4.19,2,0
7.82,11,1
5.89,4,0
7.05,1,0
9.45,12,1
5.5,2,0
6.46,1,0
8.53,2,1
5.37,6,0
4.46,0,0
5.74,1,0
4.97,4,0
9.58,9,1
8.85,9,1
7.8,9,1
9.23,1,1
8.82,2,1
5.12,0,0
9.36,6,1
7.24,3,1
8.84,9,1
9.38,4,1
5.91,1,0
4.66,4,0
5.37,2,0
6.56,7,1
8.91,3,1
9.16,8,1
4.04,0,0
7.06,8,1
6.5,3,0
5.33,1,0
4.72,4,0
6.03,0,0
9.66,7,1
5.94,7,1
7.11,2,0
8.22,0,0
6.18,2,0
9.83,3,1
9.77,1,0
5.51,0,0
6.98,6,1
5.81,7,1
5.71,6,1
4.22,1,0
7.66,4,1
7.02,0,0
4.31,2,0
5.67,4,0
9.45,6,1
5.44,0,0
4.87,2,0
6.94,8,1
9.91,0,1
5.45,0,0
8.03,3,1
8.57,8,1
5.43,5,0
8.37,12,1
6.21,2,0
7.79,0,0
7.8,3,0
7.21,8,1
4.54,2,0
9.01,11,1
5.92,0,0
5.12,3,0
4.24,1,0
7.55,3,1
8.07,2,1
4.1,1,0
7.07,4,0
5.36,4,1
7.87,2,0
5.05,3,0
8.15,8,1
6.32,3,0
9.62,10,1
4.83,4,0
6.05,3,0
4.68,4,0
9.55,6,1
9.26,8,1
5.55,6,1
7.96,4,1
8.9,9,1
7.33,9,1
7.18,6,0
5.45,5,0
4.56,1,0
9.38,4,1
9.4,2,1
7.8,6,1
6.03,4,0
6.1,2,0
8.36,10,1
9.38,1,1
9.32,11,1
8.68,8,1
7.85,9,1
4.5,1,0
4.97,3,0
9.39,0,1
7.64,5,1
4.06,2,0
4.61,4,0
7.98,7,1
4.03,1,0
4.96,0,0
7.29,1,0
8.15,10,1
7.91,9,1
5.35,1,0
8.27,4,1
5.42,4,0
5.95,4,0
8.48,5,1
7.9,2,1
9.1,7,1
7.95,0,0
7.41,5,1
4.56,3,0
6.21,0,0
5.59,6,0
5.46,6,0
9.84,8,1
6.36,3,1
9.35,3,1
7.79,5,1
8.77,11,1
7.02,2,0
7.46,5,1
6.96,6,1
5.17,2,0
8.33,9,1
5.68,1,0
4.15,2,0
7.87,6,1
5.06,5,1
9.64,2,1
9.72,12,1
9.49,12,1
6.22,1,0
4.09,3,0
9.57,9,1
6.57,3,0
9.8,11,1
9.78,7,1
9.12,12,1
5.77,6,1
6.31,8,1
9.11,6,1
5.9,0,0
5.02,2,0
7.34,8,1
9.62,11,1
8.18,0,0
7.42,8,1
4.58,0,0
7.69,5,1
9.94,4,1
4.84,5,0
7.11,9,1
9.26,11,1
8.44,12,1
8.18,12,1
8.21,12,1
6.16,6,0
5.76,4,0
8.86,5,1
8.86,4,1
9.2,10,1
9.48,11,1
7.07,4,1
7.01,3,0
8.79,2,1
7.9,2,1
8.21,3,1
8.77,8,1
9.34,1,1
6.03,6,1
6.25,8,1
4.56,0,0
7.47,0,0
4.22,0,0
6.79,5,1
7.26,5,1
5.72,2,1
7.54,6,1
4.18,0,0
4.22,2,0
8.94,11,1
6.16,1,0
4.76,3,0
7.13,7,1
8.62,11,1
5.29,4,0
7.74,7,1
4.51,1,0
